,ReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
4234,absolute spectacle,Recommended,17,34.1 hrs on record,Posted: October 8
4235,This deserves GOTY!! It is completely immersive and I love how they have portrayed Journey to the West! I never review games but I had to review this. It's an absolute masterpiece,Recommended,148,90.4 hrs on record,Posted: October 8
4236,One of the coolest gaming experiences I've ever played.,Recommended,47,96.3 hrs on record,Posted: October 8
4237,great game challenging,Recommended,20,71.7 hrs on record,Posted: October 8
4238,One of the best games I have ever played.,Recommended,33,63.7 hrs on record,Posted: October 8
4239,If this game doesn't get Game of the Year IM SUING!!This game is the best Game I played since years. Story is amazing. Gameplay is awesome. As I played on my Steamdeck graphic was decent although lowest Settings and 30 fps this Game still looks better than most Games I played.Finishing my Achievmebts for this game this definitely needs more than 1 Playthrough such aa masterpiece,Recommended,316,62.0 hrs on record,Posted: October 8
4240,One of the best games I have ever played,Recommended,32,67.1 hrs on record,Posted: October 8
4241,Love this Monkey man,Recommended,17,51.2 hrs on record,Posted: October 8
4242,game of the year 100%,Recommended,17,59.2 hrs on record,Posted: October 8
4243,Feels pretty good when you get those boss clears. gives me monster hunter vibes which is subjective i guess but um ya its awesome. Trying to imagine having this be your first gaming experience lucky little suckers man,Recommended,180,209.5 hrs on record,Posted: October 8
4244,Embrace the Monkey,Recommended,16,98.7 hrs on record,Posted: October 8
4245,"I've been waiting for this game for years, since I saw the first teaser long ago I was excited to play, and it is fair to say that it did not disappoint !I just 100% the game a few days ago and got to the conclusion that Game Science somehow managed to deliver us in their first interaction with the genre one of the most unique Souls Like game we could've wished for, the story is very rich, the gameplay, even thou it is simple, it feels good and it is smooth, the graphics are stunning and the atmosphere is amazing. I don't think they could've done a better job when it comes to most aspects of the game, if you enjoy Souls Like games you will definitely enjoy this one a lot !",Recommended,548,67.9 hrs on record,Posted: October 8
4246,"great game worth the price, better game than any AAA's made recently",Recommended,57,12.0 hrs on record,Posted: October 8
4247,Game Of The Year For Me !,Recommended,19,211.0 hrs on record,Posted: October 8
4248,Product received for freeIt's so good.,Recommended,33,114.3 hrs on record,Posted: October 8
4249,"Product received for freeIt's an awesome soulslike game that looks better than most AAA games. A lot of secret bosses and areas, invisible walls can get annoying sometimes. Chapter 6 has stutter issues if you have ray tracing enabled, otherwise the game runs smooth.",Recommended,223,48.3 hrs on record,Posted: October 8
4250,Bom jogo!,Recommended,8,39.2 hrs on record,Posted: October 8
4251,great challenging game,Recommended,20,42.6 hrs on record,Posted: October 8
4252,Product received for freeo macaco guerreiro kkkkkk,Recommended,44,79.5 hrs on record,Posted: October 8
4253,Hey it's me Goku!,Recommended,14,43.4 hrs on record,Posted: October 8
4254,GOTY.,Recommended,5,498.5 hrs on record,Posted: October 8
4255,Might be the best game in recent years. Everything is just a 10/10. Highly recommend!!,Recommended,72,75.2 hrs on record,Posted: October 8
4256,great game,Recommended,9,44.4 hrs on record,Posted: October 8
4257,Superb,Recommended,6,84.4 hrs on record,Posted: October 8
4258,AMAZINGOOOOOOO,Recommended,14,80.9 hrs on record,Posted: October 8
4259,graphic storyline combat 10/10,Recommended,27,64.5 hrs on record,Posted: October 8
4260,Monke,Recommended,5,99.0 hrs on record,Posted: October 8
4261,so far so good the game has a good story moderate difficulty and beautiful and sscenic landscapes its amazing 9/10,Recommended,95,16.3 hrs on record,Posted: October 8
4262,cold game ngl,Recommended,11,35.0 hrs on record,Posted: October 8
4263,awesome game. challenging at first but thats what makes it fun,Recommended,52,35.6 hrs on record,Posted: October 8
4264,Good.,Recommended,5,29.2 hrs on record,Posted: October 8
4265,your a monkey and you got a stick and yea,Recommended,32,48.1 hrs on record,Posted: October 8
4266,absolute banger,Recommended,14,66.3 hrs on record,Posted: October 8
4267,"I thought that nothing was going to beat my 3 games of the year so far. Those being the shadow of the Erdtree, another crabs treasure and Biogun. All those games get my highest level of recommendation. I’d give them all a deserved 10/10.However, I’d have to give this 11/10 in that case. If this game appeals to you, buy it. It will be better than you think it is.The best way I can put it is that the developers really seem to understand single player gamers. They have really pushed the envelope on everything. This is an absolute must play. One of the greats.I do not know if IGN were actively lying. But 8/10 is plain wrong. Even if I give them the benefit of the doubt, the technical problems have now been fixed.In a word, magnificent.",Recommended,604,89.7 hrs on record,Posted: October 8
4268,Too good to be played,Recommended,17,44.8 hrs on record,Posted: October 8
4269,"Product received for freeis an extraordinary action RPG that I loved for its breathtaking visuals and thrilling combat. Inspired by Journey to the West, it balances challenging boss fights with a fluid, dodge-based combat system. The game feels accessible for players new to the soulslike genre, thanks to its flexible skill tree and magical abilities that create dynamic combat options. Although minor performance issues exist, the creativity and depth of the world make it a five-star experience for me",Recommended,426,64.6 hrs on record,Posted: October 8
4270,DOH ♥♥♥♥ GAME NOT FUN DONT BUY THIS DOG SHIUT GAME,Not Recommended,40,69.3 hrs on record,Posted: October 8
4271,"Reject humanity, return to monke",Recommended,28,98.8 hrs on record,Posted: October 8
4272,Very much recommend.,Recommended,18,19.3 hrs on record,Posted: October 8
4273,"Highly recommended.Good value for money, plenty of content and bosses.Came from my first souls game playing Elden Ring and dlc recently and absolutely loved that game.This is different but definitely its own gem.",Recommended,180,34.3 hrs on record,Posted: October 8
4274,Great game,Recommended,9,119.7 hrs on record,Posted: October 8
4275,died to the yellow loong 70 times. would recommend,Recommended,42,76.4 hrs on record,Posted: October 8
4276,Product received for freeلعبه عظيمه جدا,Recommended,34,13.9 hrs on record,Posted: October 8
4277,good game,Recommended,8,78.0 hrs on record,Posted: October 8
4278,Amazing - other than frame drops when using spirits and cut scenes starting etc,Recommended,66,53.8 hrs on record,Posted: October 8
4279,"After a long time any singleplayer story game felt so fresh and fun to play. The lore behind the game is very inspirational. Characters are good , Bosses are soulslike. A character I loved returned from Journey to the West(He's the best) and I love Wukong.*Every Destined One should play*",Recommended,239,83.2 hrs on record,Posted: October 8
4280,SO GOOD DAMMMMM,Recommended,13,96.1 hrs on record,Posted: October 8
4281,Brilliant game!,Recommended,14,62.8 hrs on record,Posted: October 8
4282,"Solidny tytuł, arcydzieło audiowizualne, bardzo dobre wprowadzenie w kulturę chińską i historię sun wukonga.Minusem jest level design ale to nadal świetna gra. Warto zagrać oraz sprawdzić NG+",Recommended,165,79.3 hrs on record,Posted: October 8
4283,one of the best game I have played in my life,Recommended,35,119.8 hrs on record,Posted: October 8
4284,Wukong,Recommended,6,11.4 hrs on record,Posted: October 8
4285,Product received for freegood game,Recommended,30,103.9 hrs on record,Posted: October 8
4286,"Black Myth Wukong is a good game at it's core. Fluid and enjoyable combat with unique encounters make for a fantastic adventure from beginning to end.Fair warning, a lot of the story beats and nuance will be lost on someone who has no knowledge on Chinese Mythology or the Journey to the West Novel (Me). That doesn't mean I didn't enjoy the story, just that I has no idea why certain things occurred or why some characters were important.",Recommended,361,22.6 hrs on record,Posted: October 8
4287,Absolute Masterpiece. First game I saved up for and honestly it was worth it. I've been following the development of this for the last 5 years and my god did it deliver. My only complaints with the game would be the invisible walls. Not being able to use Nimbus in other chapters following a new game+ cycle is also kinda ass. That being said the game incentivises the need to engage in new game+ really well. Never felt the need to go through new game+ in any other game but this one really changed that. The combat is stellar- the quality of life features like insta speccing and re-speccing is beautiful coming from being a souls buff. This game is more than just a souls clone- It is its own thing in all the best possible ways. Devs absolutely delivered above and beyond w this one- 9.5/10,Recommended,648,65.5 hrs on record,Posted: October 8
4288,"What a journey it has been ... From starting on the top of Mount Huaguo, till the return home, It's been an amazing experience. Being a Non-Souls-Like player, it was a bit difficult at first with bosses and learning the mechanics, especially Perfect Dodges. The story kept me connected throughout the journey. The characters were so, so good. And Zhu Bajie, if anything happens to him, I would kill everyone in this Earth and then myself. Almost all the boss fights were memorable and fascinating, some even unique.Finally Erlang. The Old Friend. That was an epic fight (fights, as he kicked my ass multiple times) and the following fights with the 4 Heavenly Kings and Erlang Shen. That fight was legendary, Breathtaking, Epic and so on... Then finally, again had the confrontation with Stone Monkey and The Great Sage's Shell and defeated them again... and had .This game has made a mark on my mind and heart, and will forever be The Best Game, I have ever played. The mechanics, game-play, story and especially the music, everything tops each other. A journey, everyone must experience, at least once.Finally, I am on my way to start a New Cycle ... The Revenge Run !!",Recommended,969,159.2 hrs on record,Posted: October 8
4289,Product received for freeI love this game!! It should be game of the year in my opinion. It's not often that games this good come out. I received this game for free through NVIDIA when I bought my GPU.,Recommended,163,12.6 hrs on record,Posted: October 8
4290,"I definitely see this hitting game of the year! Great too for people who aren't the best as soulslikesYouTube™ Video: Too Hard To Play? Black Myth Wukong Views: 2,110Is Black Myth Wukong too hard to play? I'm not the best as soulslikes games, but I gave it a shot! 0:00 Intro 0:48 Mechanics 9:15 The Learning Curve 19:58 The Fix",Recommended,269,45.0 hrs on record,Posted: October 8
4291,"Probably the best game of 2024 (so far). Easy 9/10Pros- NO MTX, aggressive monetization or predatory practices- Satisfying and fun gameplay- Gorgeous graphics- Enjoyable story- Great music- Well-acted and directed cutscenes (both English and Chinese)- Plenty of reason to replay after first playthrough- Huge enemy and boss varietyCons- Denuvo DRM- Combat can be a bit one dimensional, and some might find it lacks depth- Invisible walls everywhere- Quite demanding on the hardware (RTX 3080 10GB + 5800X at 1440p hovers around 60fps with Digital Foundry recommended settings)- Medium Ray Tracing setting breaks water.- Shader comp stutters. Even tho the game compiles shaders on startup, every time a new effect or enemy attacks occurs, i got a stutter.Overall, an easy recommendation for someone looking for an incredible single player experience, well worth the money even at full price.",Recommended,754,105.6 hrs on record,Posted: October 8
4292,This game is awesome.,Recommended,18,152.6 hrs on record,Posted: October 8
4293,Masterpiece of a game. Absolutely splendid.,Recommended,38,58.1 hrs on record,Posted: October 8
4294,noice,Recommended,5,7.7 hrs on record,Posted: October 8
4295,This monkeh game is so PEAK,Recommended,22,24.5 hrs on record,Posted: October 8
4296,"Great Combat Experience, Destined One!!!",Recommended,36,112.3 hrs on record,Posted: October 8
4297,GOTY 2024,Recommended,8,22.5 hrs on record,Posted: October 8
4298,UwU,Recommended,3,25.6 hrs on record,Posted: October 8
4299,"""Black Myth: Wukong"" is seriously impressive! The visuals are jaw-dropping, and the way it blends Chinese mythology into the game is just awesome. The combat looks super smooth, and the world feels alive with so much detail. It’s one of those games that really stands out and makes you want to dive right in.",Recommended,255,31.8 hrs on record,Posted: October 8
4300,great graphics and the game overall is one of my favorites that came out this year,Recommended,67,108.2 hrs on record,Posted: October 8
4301,"Best Game of the year, no questions ask! Amazing",Recommended,40,70.0 hrs on record,Posted: October 8
4302,"Very fun and beautiful game, over delivered for sure! GOTY",Recommended,49,84.6 hrs on record,Posted: October 7
4303,return to monkey,Recommended,14,35.8 hrs on record,Posted: October 7
4304,Best Game,Recommended,8,65.5 hrs on record,Posted: October 7
4305,"One of the best games ive played so far the story is great and the mechanics, graphics, combat, skills its perfectly done and also chinese mythology very well explained with so much lore...<3",Recommended,159,86.6 hrs on record,Posted: October 7
4306,chinese monki,Recommended,12,51.0 hrs on record,Posted: October 7
4307,u play nice,Recommended,9,92.9 hrs on record,Posted: October 7
4308,nothing to say but just recommend,Recommended,28,76.9 hrs on record,Posted: October 7
4309,"finished 3 chapters so far, and this game is everything it was hyped up to be. combat is so fun, and the power fantasy is real. i like the additions they made like being able to grow your own ingredients, that really reduces grind and lets you just enjoy the game.",Recommended,214,61.4 hrs on record,Posted: October 7
4310,10/10,Recommended,5,99.3 hrs on record,Posted: October 7
4311,great,Recommended,5,50.1 hrs on record,Posted: October 7
4312,G O T Y !IGN has no right to crown it.,Recommended,28,52.9 hrs on record,Posted: October 7
4313,"Challenging, I like",Recommended,17,17.5 hrs on record,Posted: October 7
4314,Really fun mechanics and none of the bosses are the perfect difficulty.,Recommended,60,88.0 hrs on record,Posted: October 7
4315,"A Stunning Action RPG MasterpieceBlack Myth: Wukong is a breathtaking action RPG that delivers on every front, whether you play on PC or PlayStation 5. From the moment you step into its beautifully crafted world inspired by the classic Chinese novel, Journey to the West, you're treated to an experience that blends stunning visuals, intricate storytelling, and thrilling gameplay.Graphics and Art Design: The game's visuals are nothing short of extraordinary. The Unreal Engine 5 truly brings the world to life, with incredibly detailed environments, realistic lighting, and character designs that feel alive and vibrant. Whether exploring lush forests, dark caves, or mythological realms, every scene is a visual treat. On the PS5, the game leverages the hardware’s capabilities to deliver smooth, high-definition graphics with minimal loading times, making it an immersive experience.Gameplay and Combat: The combat system in Black Myth: Wukong is fluid, challenging, and rewarding. The variety of enemy types and the need for strategic thinking keep the battles engaging, and the ability to shapeshift into different forms adds a unique layer of depth to the gameplay. The controls are responsive and intuitive, and the range of abilities and combat moves keeps things fresh throughout your journey.Story and Characters: The story is compelling, filled with rich lore and memorable characters. As Wukong, players embark on an epic journey filled with twists, ancient secrets, and powerful adversaries. The narrative does a great job of blending traditional mythology with new storytelling elements, keeping you hooked from start to finish.Performance: Both PC and PS5 versions run smoothly, with great optimization that minimizes bugs and frame rate drops. On the PS5, the game makes excellent use of the DualSense controller, with haptic feedback and adaptive triggers adding to the immersion. The PC version, on the other hand, offers extensive graphical settings, allowing players to tweak their experience to suit their hardware.Conclusion: Black Myth: Wukong is a must-play for any action RPG fan. It’s not just a game; it’s an experience that pushes the boundaries of storytelling and game design. Whether on PC or PlayStation 5, this game offers a visually stunning, deeply engaging, and thoroughly enjoyable adventure that stands as one of the best releases in recent years. Highly recommended!",Recommended,2040,4.9 hrs on record,Posted: October 7
4316,GOTY 2024,Recommended,8,119.9 hrs on record,Posted: October 7
4317,very ez good game worth moneh,Recommended,24,9.5 hrs on record,Posted: October 7
4318,100% recommendation!Bring back the childhood for an Asian!Game Science made this game by their heart.,Recommended,87,67.4 hrs on record,Posted: October 7
4319,"The story is a bit hard to follow but the action is amazing, the quests and lore is refreshing and I haven't enjoyed a game like this so thoroughly in a long time. Easy 10/10 for me.",Recommended,146,93.9 hrs on record,Posted: October 7
4320,ta weno,Recommended,6,93.9 hrs on record,Posted: October 7
4321,great immersion game with a proper level of difficulty. I love it.,Recommended,55,108.1 hrs on record,Posted: October 7
4322,Game of the year 2024,Recommended,17,1.2 hrs on record,Posted: October 7
4323,"1. Graphics & Visuals✓ Spectacular, visually groundbreaking☐ Beautiful and polished, but with minor flaws☐ Good, but some assets or areas feel unpolished☐ Functional, but not particularly impressive☐ Sub-par or outdated visuals for a AAA title2. Story & Narrative✓ Masterpiece – compelling, emotional, and well-written☐ Strong narrative with engaging characters☐ Good but predictable or formulaic☐ Lacking depth or weak character development☐ Uninspiring or incoherent3. Gameplay Mechanics✓ Exceptionally engaging and innovative☐ Solid, fun mechanics with plenty of variety☐ Good, but becomes repetitive over time☐ Feels derivative or lacks challenge☐ Unbalanced or clunky to play4. Controls✓ Perfectly intuitive and responsive☐ Smooth with a slight learning curve☐ Usable, but could be more responsive☐ Clunky or difficult to manage at times☐ Frequently frustrating or unresponsive5. World Design & Exploration☐ Deeply immersive with a rich and interactive world✓ Large, detailed, and enjoyable to explore☐ Decent world-building, but some areas feel empty☐ Functional but uninspired design☐ Bland or unmemorable environments6. Sound & Music✓ Outstanding soundtrack and audio design☐ High-quality, immersive sound design and music☐ Good, but not particularly memorable☐ Audio or music sometimes feels out of place☐ Poor or inconsistent quality7. Character Development✓ Deep, multi-dimensional characters☐ Well-developed with strong growth arcs☐ Decent characters, but lacking depth☐ Somewhat flat or clichéd characters☐ Uninspired or poorly written characters8. Pacing✓ Perfect balance between action, story, and downtime☐ Well-paced, but with some slower or faster sections☐ Mostly well-paced, but drags at certain points☐ Uneven pacing, with some boring or overly rushed parts☐ Poor pacing that affects the overall experience9. Technical Performance✓ Flawless performance with no technical issues☐ Minor issues, but generally runs smoothly☐ Noticeable frame rate drops, bugs, or glitches☐ Frequent technical issues affecting gameplay☐ Severely broken performance (crashes, unplayable bugs)10. Replayability & Longevity✓ High replay value with plenty of post-game content☐ Good replay value, with multiple endings or modes☐ Some replay value, but mostly a one-time experience☐ Little to no incentive to replay☐ Lacking replayability or post-game content11. Innovation & Impact✓ Groundbreaking, redefines the genre☐ Very innovative and refreshing☐ Introduces some new ideas, but mostly familiar☐ Feels like more of the same☐ Adds little or nothing new to the genre12. Value for Money✓ Worth every penny, outstanding content☐ Fair value, good amount of content☐ Adequate, but could have more content for the price☐ Overpriced for what’s offered☐ Not worth the money13. Overall Enjoyment✓ One of the best games I’ve ever played☐ Loved it and would highly recommend☐ Enjoyed it, but not without flaws☐ A mixed experience – some highs, some lows☐ Disappointing, wouldn’t recommendFinal Rating (Out of 10):10/10",Recommended,2589,115.7 hrs on record,Posted: October 7
4324,Product received for freegooooooooooooooooood,Recommended,42,97.4 hrs on record,Posted: October 7
4325,"As soon as monkey king went to heaven, my GPU and CPU went along with him.",Recommended,59,32.2 hrs on record,Posted: October 7
4326,"Catastrophically mid. Inferior to all of it's influences. Doesn't do anything heinously wrong, but doesn't exceed in any way.The thing that annoys me most is it's insistence on being ""not a soulslike"" despite the blatant implementation of numerous highly soulsy mechanics, thus making this game another one of the thousands that don't understand what made those mechanics good, or even work.Having commital, non cancelable attack animations is not compatible with fast, reactive combat, it has the opposite effect, it incentivises cowardice, and makes the snappy jerky animations feel clunky and unresponsive.The skill tree doesn't meaningfully expand on the combat, the stance system is underutilised, the transformations are glorified ""spells"". It's just boring. And so the price is unjustifiable.Elden Ring truly got me spoiled, and this doesn't scratch the DMC or ninja gaiden itch.",Not Recommended,754,10.9 hrs on record,Posted: October 7
4327,Great game! Enjoyed pretty much.,Recommended,28,108.9 hrs on record,Posted: October 7
4328,GOTY!,Recommended,5,181.8 hrs on record,Posted: October 7
4329,Good game... gameolaybis greatBut somestimes a little bit annoying,Recommended,58,155.2 hrs on record,Posted: October 7
4330,Love It,Recommended,6,66.1 hrs on record,Posted: October 7
4331,GREAT!,Recommended,6,44.9 hrs on record,Posted: October 7
4332,"Having spent some time with Black Myth: Wukong, my feelings are mixed. On one hand, the visuals are absolutely breathtaking. The attention to detail in the environments and character designs is truly stunning, but unfortunately, I found myself having to trade that visual splendor for some significant performance issues.The game suffers from occasional FPS drops, especially during cutscenes, and I encountered audio glitches more than once. These issues aren’t constant, but they were noticeable enough to break immersion, which was frustrating. To add to that, the lip-syncing in cutscenes is quite bad, which detracts from the cinematic experience.However, where Black Myth: Wukong truly shines is in its gameplay. It’s addictive, feeling like a blend of the Soulsborne series and God of War. The combat is fast-paced, challenging, and packed with boss fights—just the way I like it. Personally, I found the difficulty satisfying, even on the easier side for those used to Soulslike games. The map is well-designed, though the focus on boss fights and leveling up does make it feel a bit repetitive over time.In short, while the performance leaves a lot to be desired, Black Myth: Wukong offers a thrilling gameplay experience wrapped in a gorgeous world. If you’re willing to overlook some technical hiccups, there’s a lot of fun to be had here.Rating: 8.8/10",Recommended,1148,3.7 hrs on record,Posted: October 7
4333,666,Recommended,3,94.5 hrs on record,Posted: October 7
4334,Amazing game!!,Recommended,13,65.3 hrs on record,Posted: October 7
4335,Good game,Recommended,8,33.8 hrs on record,Posted: October 7
4336,best game in the world,Recommended,18,11.5 hrs on record,Posted: October 7
4337,"great game, havent finished it yet, but its a very well made",Recommended,49,30.1 hrs on record,Posted: October 7
4338,not just an ordinary monkey,Recommended,23,76.3 hrs on record,Posted: October 7
4339,"This game was a work of art. I loved every moment of it, and honestly wish I hadn't seen every inch of it and that there was more to do! It was absolutely worth the time and money, and if there's ever a sequel I would be jumping with joy.",Recommended,189,142.2 hrs on record,Posted: October 7
4340,Absolute Cinema,Recommended,14,15.0 hrs on record,Posted: October 7
4341,w game,Recommended,5,111.5 hrs on record,Posted: October 7
4342,fun,Recommended,3,30.6 hrs on record,Posted: October 7
4343,Remember to unlock the thrust stance before fighting the laughing buddha,Recommended,62,17.8 hrs on record,Posted: October 7
4344,I was expecting something different since this was so hyped. After 4 hours of gameplay it it seems like a cheap copy of Wo Long : Fallen Dynasty. If you guys played Wo Long will understand what im talking about. Not suggested.,Not Recommended,185,4.4 hrs on record,Posted: October 7
4345,"Processor: Intel i5 12400fGraphic card: Asus Nvidia RTX 4060ti 8gbMonitor : FHDRam: DDR4 16 gbHighly recommend this game. Stunning graphics and the combat is fun, boss fight is not too hard compare to others soul-like game. As an old-school gamer like me, who started playing games in the 90s, the invisible walls don't affect the gaming experience much. The game crashed twice during chpt 2, and the crashes seem to increase in later chapters. Aside from one issue in the chpt 1, where after unlocking the secret place of chp 1, the Wandering Wight disappeared and I had to start a new game , the overall experience was still fascinating. The design of Portraits is excellent, and it’s worth reading through each one. The storyline is great, and while playing, I realized I had forgotten a lot of the stories from Journey to the West. Have ordered a copy of Journey to the West after i finished this game.十分推荐这个游戏。战斗有趣，难度系数不算高，空气墙对于我这种游戏年龄近30年的老玩家来说并不会影响游戏体验。游戏在第二章奔溃两次，之后的章节崩溃的次数越来越多。除了第一章开了隐藏关卡后发现幽魂不见了，只能开新档重来，其他的游戏体验还是很棒的。影神图的设计很好，认真看完每一个内容。游戏剧情很好，玩了才发现原来西游里面很多故事已经忘得七七八八了，让我这个海外华人立马下单买了套西游来重温",Recommended,940,147.8 hrs on record,Posted: October 7
4346,Chapter 1:wandering wight Everybody's nightmare to face. black FREAKING bear: fire attack (dead in 3 hits),Recommended,91,16.8 hrs on record,Posted: October 7
4347,10000000000000000000000000000000/10 SO GOOD IMOI WANT THREE KINGDOMS STORY NEXT,Recommended,71,73.4 hrs on record,Posted: October 7
4348,i Love this game,Recommended,13,32.8 hrs on record,Posted: October 7
4349,(sand) monke,Recommended,11,4.8 hrs on record,Posted: October 7
4350,Ceaser from planet of the apes lore goes hard,Recommended,37,53.6 hrs on record,Posted: October 7
4351,nice,Recommended,4,119.0 hrs on record,Posted: October 7
4352,GOTY,Recommended,4,84.7 hrs on record,Posted: October 7
4353,Hmm MONKE,Recommended,8,7.3 hrs on record,Posted: October 7
4354,Goated,Recommended,6,59.5 hrs on record,Posted: October 7
4355,I am the monke,Recommended,11,6.2 hrs on record,Posted: October 7
4356,amazing game!,Recommended,12,71.8 hrs on record,Posted: October 7
4357,八十一难，灾消难满，真是非凡的游戏体验,Recommended,19,249.8 hrs on record,Posted: October 7
4358,Immersive experience. Expansive backstory. Stunning graphics. Truly a game worth playing!,Recommended,79,105.2 hrs on record,Posted: October 7
4359,"Dear Asian developers. Thank you for giving gaming a well-needed second wind. Stay humble, keep the woke virus at bay. We need more games that are just fun, no strings attached.Brilliant game, not perfect, but a must play.",Recommended,185,81.9 hrs on record,Posted: October 7
4360,Beautiful combat and scenery. Good story. Flexible ways to fight. Deservent of game of the year for 2024.,Recommended,88,129.2 hrs on record,Posted: October 7
4361,Amazing game all around! 10/10 Easy game of the year!,Recommended,44,218.9 hrs on record,Posted: October 7
4362,Monke!!!,Recommended,8,43.6 hrs on record,Posted: October 7
4363,"Cracked and hype ♥♥♥♥♥♥♥♥, bosses that are tough aren't annoying or have any stupid mechanincs so far and its just been an entirely enjoyable experience",Recommended,128,19.2 hrs on record,Posted: October 7
4364,I can play as Monkevery good 👍🏻👍🏻👍🏻,Recommended,29,5.0 hrs on record,Posted: October 7
4365,funni monke,Recommended,10,12.0 hrs on record,Posted: October 7
4366,Best game,Recommended,8,255.9 hrs on record,Posted: October 7
4367,"Recommends use of controller, says dualsense is compatible. Its not. it runs extremely poorly.",Not Recommended,81,6.9 hrs on record,Posted: October 7
4368,Black Myth: Wukong is more than just a good game; it's a profound experience that endures!,Recommended,75,66.8 hrs on record,Posted: October 7
4369,Just amazing,Recommended,11,32.0 hrs on record,Posted: October 7
4370,monke,Recommended,5,52.6 hrs on record,Posted: October 7
4371,Very positive!,Recommended,13,115.1 hrs on record,Posted: October 7
4372,yes.,Recommended,4,4.0 hrs on record,Posted: October 7
4373,Best game ever made. my first review ever made in my 17 years playing games. 10/10,Recommended,67,56.0 hrs on record,Posted: October 7
4374,best game,Recommended,8,45.7 hrs on record,Posted: October 7
4375,:),Recommended,2,48.6 hrs on record,Posted: October 7
4376,yhnu,Recommended,4,54.1 hrs on record,Posted: October 7
4377,Sun Go kong is in the house !,Recommended,22,40.5 hrs on record,Posted: October 7
4378,...,Recommended,3,78.3 hrs on record,Posted: October 7
4379,GOOD,Recommended,4,50.1 hrs on record,Posted: October 7
4380,great gamr,Recommended,9,50.0 hrs on record,Posted: October 7
4381,10/10 GAME OF THE YEAR!! MARK MY WORDS!!!,Recommended,34,77.0 hrs on record,Posted: October 7
4382,Finished the game but I keep coming back for moreee !!!!!,Recommended,47,53.8 hrs on record,Posted: October 7
4383,Best game of the year for me. Although the optimization might need some improvement.,Recommended,71,141.7 hrs on record,Posted: October 7
4384,Great gameplay. Challenging at times,Recommended,32,54.3 hrs on record,Posted: October 7
4385,"Play this game if from-soft games are to hard, a very easy but still challenging game somehow.",Recommended,78,67.0 hrs on record,Posted: October 7
4386,I love monkeys,Recommended,12,92.4 hrs on record,Posted: October 7
4387,"Great game, 8.5/10. Some little design choices I think should have been different, but overall, way more pros than cons.",Recommended,101,47.9 hrs on record,Posted: October 7
4388,The game is fun and easy to pickup,Recommended,27,31.5 hrs on record,Posted: October 7
4389,"Absolute masterpiece! The most fun I had with a RPG game since Red dead redemption. You can feel the passion and dedication developers put into this game. Stellar graphic, solid take on the story after events of journey to the west. Addicting battle system and amazing character and boss design. The only downside I can think of would be it kind of requires you to know the back story of journey to the west to understand the plot. I had to watch a lot of explanation videos. The story is amazing but I wish it can be done in a straight foward way.",Recommended,446,102.2 hrs on record,Posted: October 7
4390,outstanding,Recommended,11,35.4 hrs on record,Posted: October 7
4391,Amazing.,Recommended,8,67.0 hrs on record,Posted: October 7
4392,"very good, i just want to kill the scorpion lord tho",Recommended,42,297.2 hrs on record,Posted: October 7
4393,great game 10/10,Recommended,14,3.9 hrs on record,Posted: October 7
4394,On my 3rd play-through still loving this game can't get enough!,Recommended,53,124.1 hrs on record,Posted: October 7
4395,this game is really fun the bosses are challenging but really well done and the instrument guy in the desert is my favorite person best music ever!!,Recommended,122,10.1 hrs on record,Posted: October 7
4396,Great story. Revived my childhood memory of WuKong,Recommended,43,95.7 hrs on record,Posted: October 7
4397,splendid,Recommended,8,45.6 hrs on record,Posted: October 7
4398,GOTY 2025!,Recommended,9,3.3 hrs on record,Posted: October 7
4399,经典,Recommended,2,67.3 hrs on record,Posted: October 7
4400,COOL AF TIGERS = 10/10,Recommended,18,18.5 hrs on record,Posted: October 7
4401,MONKE true Game of the Year!!!,Recommended,25,44.8 hrs on record,Posted: October 7
4402,it gud,Recommended,5,146.8 hrs on record,Posted: October 7
4403,its GOOOD! buy it.,Recommended,15,14.1 hrs on record,Posted: October 7
4404,Product refundedAmazing game and story! just make sure you have a REALLY good PC or else you'll miss out on the insane graphics and immersion! (Only refunded to buy elsewhere),Recommended,146,0.6 hrs on record,Posted: October 7
4405,Product received for freeharambe taking revenge,Recommended,42,68.5 hrs on record,Posted: October 7
4406,"Got my ass kicked by rats, foxes, tigers, snakes and the occasional human. 10/10 would get beat again.",Recommended,85,45.9 hrs on record,Posted: October 7
4407,"Strong monkey, big stick 9/10",Recommended,25,46.6 hrs on record,Posted: October 7
4408,"Good game but horrible performance, so much stutter and frame drops, stutter when you use a spirit ability, when you use transformation, everytime you reach a new area, when enemies perform an ability, when you open a menu, jesus is all over the place, could be GOTY but the performance is so bad that the gameplay suffers a lot.All this said the story is enjoyable and the graphics are good (not the best I've seen), hope in the future they fix all this issues.",Recommended,379,52.4 hrs on record,Posted: October 7
